brandName,priceLabel
Polo Ralph Lauren,101.8
,101.8
,98.05
Salvatore Ferragamo,98.05
Lanvin,129.65
Hermes,124.19
Lanvin,85.03
Celine,98.05
Lanvin,129.65
Jean Patou,64.29
Gucci,145.85
Gucci,151.26
,131.83
Pierre Cardin,64.29
HUGO BOSS,80.79
Enrico Coveri,64.29
Dolce & Gabbana,195.47
Ermenegildo Zegna,101.8
Dolce & Gabbana,195.0
Polo Ralph Lauren,91.08
Dolce & Gabbana,170.28
Dolce & Gabbana,225.0
Polo Ralph Lauren,101.8
Brioni,162.61
Yohji Yamamoto,436.9
Brioni,154.11
Dolce & Gabbana,225.0
Yohji Yamamoto,436.9
Dolce & Gabbana,178.35
Dolce & Gabbana,178.35
Brioni,162.61
Dolce & Gabbana,225.0
,117.65
Dolce & Gabbana,225.0
Pierre Cardin,64.29
Dolce & Gabbana,175.0
Brioni,154.11
Salvatore Ferragamo,159.29
Dolce & Gabbana,225.0
Brioni,154.11
Dolce & Gabbana,225.0
Dolce & Gabbana,225.0
Dolce & Gabbana,175.0
Kiton,178.26
Corneliani,91.08
DSquared,203.59
Brunello Cucinelli,245.0
Brunello Cucinelli,245.0
Polo Ralph Lauren,101.8
Band Of Outsiders,155.0
Brioni,170.05
Fendi,117.87
Fendi,117.87
Fendi,117.87
Fendi,117.87
Gucci,265.0
Brioni,174.66
United Arrows,185.0
Drakes,200.0
Saint Laurent,129.65
Saint Laurent,129.65
Drakes,175.0
Drakes,175.0
Drakes,190.0
Dolce & Gabbana,175.0
DSquared,101.8
Kenzo,135.0
Saint Laurent,265.0
Saint Laurent,245.0
Dolce & Gabbana,275.0
Dolce & Gabbana,225.0
Kenzo,110.0
Dolce & Gabbana,275.0
Dolce & Gabbana,141.71
Hermes,128.58
Rag and Bone,150.0
fe-fe,51.43
Diesel,53.14
Alexander McQueen,195.0
Brunello Cucinelli,170.37
Burberry,165.0
Burberry,165.0
Burberry,195.0
Burberry,174.0
Alexander McQueen,161.0
Brioni,202.0
Paul Smith,105.0
Bottega Veneta,178.0
Alexander McQueen,171.0
Turnbull & Asser,180.0
Brooks Brothers,60.0
Charvet,195.0
Lanvin,190.0
Drakes,170.0
Lanvin,175.0
Brioni,195.0
Brooks Brothers,60.0
Turnbull & Asser,95.0
Lanvin,145.0
Alfred Dunhill,230.0
Lanvin,165.0
Drakes,165.0
Charvet,195.0
Etro,170.0
Lanvin,175.0
Alexander McQueen,180.0
Alexander McQueen,170.0
Hackett,75.0
Charvet,235.0
Drakes,170.0
Alexander McQueen,180.0
,175.0
Apolis,58.0
Isaac Mizrahi,89.5
Lauren Ralph Lauren,49.5
Alfani,55.0
Calvin Klein,65.0
MICHAEL Michael Kors,65.0
Countess Mara,59.5
Tommy Hilfiger,45.0
MICHAEL Michael Kors,65.0
Tommy Hilfiger,65.0
,49.5
Tommy Hilfiger,55.0
Penguin,55.0
Calvin Klein,65.0
MICHAEL Michael Kors,65.0
Penguin,55.0
,59.5
MICHAEL Michael Kors,65.0
Tommy Hilfiger,45.0
Alfani,49.5
Perry Ellis,55.0
Geoffrey Beene,55.0
Club Room,49.5
Lauren Ralph Lauren,59.5
Tommy Hilfiger,65.0
Alfani,55.0
Rag and Bone,150.0
