,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
89,461789538,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/20/32/203200d3f0ba4028f93ffe1ba7ad5b5c_best.jpg,Men's red Hermès silk moon and star print tie.,TheRealReal,_print,_silk,False
90,464127486,195.0,Alexander McQueen Polka-Dot Silk Tie,689,Alexander McQueen,http://bim.shopstyle.com/pim/39/b3/39b3bca886b04e89c4c71c6dc0ff96eb_best.jpg,Add panache to slick formal attire with Alexander McQueen 's debonair polka dot tie. This piece is flawlessly crafted in Italy from luxurious silk that gives it the lustrous appearance. Set it off with a crisp white poplin shirt at your next party. Shown here with a Charvet shirt . <ul> <li>Dark blue woven-silk tie</li> <li>White embroidered polka dots</li> <li>100% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>,MR PORTER,_polkadot,_silk,False
91,455204429,165.0,Burberry London Woven Silk Tie,870,Burberry,http://bim.shopstyle.com/pim/15/ec/15ec860c84ac6c1a9b1cba39f895c870_best.jpg,"Distinctly textured checks define a handsome tie cut from pure silk. <ul> <li>2 3/4"" width; 57"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Burberry London; made in Italy.</li> <li>Men's Designer.</li> </ul>",Nordstrom,unknown,_silk,False
92,457711274,39.5,Polo Ralph Lauren Silk-Tie Journal,462,Polo Ralph Lauren,http://bim.shopstyle.com/pim/26/13/261318f34cd26e77cc217e1fcb12c491_best.jpg,"Designed with a multitude of narrow-ruled pages and a lustrous ribbon bookmark, this handsome journal features a twill cover with an allover pattern of diagonal stripes and embroidered shield crests inspired by a silk tie. <ul> <li>Filled with narrow-ruled paper.</li> <li>8"" H x 5¾"" L x ¾"" D. Silk. Nylon. Imported.</li> </ul>",Ralph Lauren,_striped,_silk,False
93,454339430,85.0,Polo Ralph Lauren Striped Silk Repp Bow Tie,462,Polo Ralph Lauren,http://bim.shopstyle.com/pim/1e/97/1e97a6c642e7160e3badeb48697e7da6_best.jpg,"Crafted in Italy from luxe silk repp, this handsome bow tie features a sophisticated striped pattern. <ul> <li>Expertly hand-stitched to achieve the perfect proportions.</li> <li>Pointed tips.</li> <li>Self-tie.</li> <li>100% silk. Dry clean. Made in Italy.</li> </ul>",Ralph Lauren,_striped,_silk,False
94,458648941,95.0,Kenzo 'Eye' bow tie,2498,Kenzo,http://bim.shopstyle.com/pim/2a/10/2a107a74b25c2bbaab5582c5f70c8c5c_best.jpg,Black silk 'Eye' bow tie from Kenzo featuring a rear clip fastening.,farfetch.com,unknown,_silk,False
95,430214697,78.44,Missoni Vintage patterned tie,1673,Missoni,http://bim.shopstyle.com/pim/ff/24/ff24dff837913c78595d437eab7e6c85_best.jpg,Pale yellow silk tie from Missoni Vintage featuring a multicoloured polka dot print and a pointed tip. Please note that vintage items are not new and therefore might have minor imperfections.,farfetch.com,_print,_silk,False
96,454638477,90.34,Lanvin woven bow tie,1487,Lanvin,http://bim.shopstyle.com/pim/17/ee/17ee1b63e45cb2af2cd48d7f5311fa29_best.jpg,Blue silk woven bow tie from Lanvin featuring a hook fastening and a internal logo patch.,farfetch.com,unknown,_silk,False
98,451386631,129.65,Lanvin textured woven tie,1487,Lanvin,http://bim.shopstyle.com/pim/b5/bc/b5bc88cc60e3ec8897be6c36aa92bb48_best.jpg,Navy blue silk textured woven tie from Lanvin.,farfetch.com,unknown,_silk,False
99,464401006,180.0,Alexander McQueen skull jacquard tie,689,Alexander McQueen,http://bim.shopstyle.com/pim/53/54/535439e2e83c6046ce8102a6c5cc7ede_best.jpg,Blue silk skull jacquard tie from Alexander McQueen featuring a pointed tip.,farfetch.com,unknown,_silk,False
100,424378956,200.0,GG pattern tie.,1242,Gucci,http://bim.shopstyle.com/pim/21/3b/213b1167bcb45baadd8b1502565938d7_best.jpg,"<ul> <li>navy with blue GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
101,460362381,205.0,"Ermenegildo Zegna Micro Box Neat Silk Tie, Yellow",1139,Ermenegildo Zegna,http://bim.shopstyle.com/pim/37/7f/377fc90e034b709bc3909646ef4ddf69_best.jpg,"<ul><li>Ermenegildo Zegna silk neat tie.</li><li>Printed micro-box design.</li><li>3 1/2""W at widest.</li><li>Made in Italy.</li></ul>",Neiman Marcus,unknown,_silk,False
