Original Print Habutai Silk Tie,"<ul> <li>sapphire blue and light brown</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Habutai Silk Bow Tie,<ul> <li>ivory and peach</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
Printed Habutai Silk Tie,"<ul> <li>off-white and yellow</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Printed Habutai Silk Tie,"<ul> <li>royal blue and grey</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Cotton Knit Tie,<ul> <li>mahogany and beige</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>
Striped Woven Silk Tie,"<ul> <li>light blue and dark grey</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Cotton Knit Tie,<ul> <li>black and bordeaux</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>
Patterned Cotton Knit Tie,<ul> <li>midnight blue and white</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>
Patterned Woven Silk Tie,"<ul> <li>light blue and blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>dark grey and ivory</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Woven Linen Silk Tie,"<ul> <li>light yellow</li> <li>55% linen and 45% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Woven Linen Silk Tie,"<ul> <li>ivory</li> <li>55% linen and 45% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Woven Linen Silk Tie,"<ul> <li>brown</li> <li>55% linen and 45% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Dressage Print Habutai Silk Tie,"<ul> <li>beige and white</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Knot Patterned Silk Twill Tie,"<ul> <li>midnight blue and red</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Knot Patterned Silk Twill Tie,"<ul> <li>petrol blue and light green</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Silk Twill Tie,"<ul> <li>orange and dark orange</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Silk Twill Tie,"<ul> <li>turquoise blue and sky blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
interlocking G pattern silk wool tie,"<ul> <li>light blue</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
GG pattern silk jacquard tie,"<ul> <li>pearl and grey</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
GG pattern silk jacquard tie,"<ul> <li>blue and white</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
GG pattern woven silk tie,"<ul> <li>grey and beige</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Tone-On-Tone Woven Silk Tie,"<ul> <li>navy and light blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>"
GG pattern woven silk tie,"<ul> <li>navy and light blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Tone-On-Tone Woven Silk Tie,"<ul> <li>bordeaux and red</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Gucci Tie,Men's grey Gucci silk polka dot embroidered skinny necktie.
Gucci Tie,Men's silver-tone and periwinkle Gucci silk necktie with stripes throughout.
Gucci Tie,Men's steel blue and navy Gucci silk necktie with stripes throughout.
Gucci Tie,Men's navy blue and yellow Gucci silk fan print necktie.
Gucci Tie,"Men's navy, mustard and burgundy Gucci silk necktie with geometric print throughout."
Gucci Tie,Men's charcoal and slate Gucci silk necktie with stripes and micro polka dots throughout.
Gucci Floral Tie,Men's red Gucci silk necktie with jacquard floral print throughout.
Gucci Tie,Men's blue and red Gucci neck tie with 'G' monogram throughout.
Gucci Tie,"Men's navy blue, yellow, royal blue, and white Gucci silk necktie with geometric print throughout."
Gucci Tie,Men's navy and silver-tone Gucci silk necktie with G print throughout.
Gucci Tie,Men's mauve and black Gucci silk necktie with geometric print throughout.
Gucci Tie,"Men's brown, saffron and multicolor Gucci silk necktie with geometric horsebit print throughout."
Gucci Tie,"Men's tan, saffron and grey Gucci silk necktie with oval print throughout and sparse subtle jacquard Gs throughout."
Gucci Tie,Men's black and grey Gucci silk graphic print tie.
Gucci Tie,Men's dark grey Gucci silk embroidered tie.
Gucci Tie,"Men's yellow, blue and cream Gucci silk stripe print tie."
Gucci Tie,Men's blue and cream Gucci silk logo embroidered tie.
Gucci Tie,"Men's silver, blue and charcoal Gucci silk strip print tie."
Gucci Tie,"Men's lapis, blue and lavender Gucci silk striped tie."
Gucci Tie,Men's purple and black Gucci silk pin dot tie.
Gucci Tie,Men's blue Gucci silk diamond polka dot embroidered tie.
Gucci Tie,Men's grapefruit Gucci silk chain link embroidered tie.
Gucci Tie,Men's merlot and red Gucci silk GG embroidered tie.
Gucci Tie,Men's black and white Gucci silk embroidered tie.
Gucci Tie,Men's merlot Gucci silk striped and GG embroidered tie.
Gucci Tie,Men's dark brown and purple Gucci silk micro GG embroidered tie.
Gucci Vintage printed tie,Brown silk tie from Gucci featuring a multicolour belt and bracelets print. Please note that vintage items are not new and therefore might have minor imperfections.
Gucci checked tie,Blue and black silk tie from Gucci featuring a check pattern and a pointed tip.
Gucci Vintage patterned tie,"Red silk patterned tie from Gucci Vintage featuring a pointed tip. The size is generous, pick a size down. Please note that vintage items are not new and therefore might have minor imperfections. From 1970."
Gucci geometric jacquard tie,Blue silk geometric jacquard tie from Gucci featuring a pointed tip.
Gucci Vintage Paisley tie,"Chocolate brown silk vintage tie from Gucci Vintage featuring a paisley embossed print. Please note that vintage items are not new but are often between 1985 and the end of 90 ́s, and therefore will always have minor imperfections, even when the items have been used and worn with love and care."
Gucci classic tie,Blue silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.
Gucci Vintage 'Middle Ages' printed tie,Burgundy 'Middle Ages' silk tie from Gucci featuring a green and yellow floral print. Please note that vintage items are not new and therefore might have minor imperfections.
Gucci printed tie,"Blue and burgundy silk printed tie from Gucci featuring branded rear patch, a printed logo to the rear and a polka dot pattern."
Gucci geometric print tie,Grey and red silk geometric print tie from Gucci featuring a pointed tip and a printed logo.
Gucci Linen and Silk-Blend Tie,"Lift formal attire with this handsome sky-blue tie by Gucci. The luxurious combination of linen and silk creates a sleek and subtly nuanced texture that will add distinction to sharp tailoring. Shown here with a Charvet shirt . <ul> <li>Sky-blue linen and silk-blend tie</li> <li>55% linen, 45% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>"
